concurrency,executionTime,memoryUse
1,157.95600000000002,92.7
2,134.00600000000003,97.8
3,108.93799999999999,102.8
4,141.16555555555556,107.44444444444444
5,112.60499999999999,108
6,116.546,108
10,236.64700000000002,113.7
12,233.7111111111111,129.22222222222223
15,55608.436,161.5
20,297587.21400000004,185.7
30,254985.89777777778,185.55555555555554
60,29038.232,161.8
