concurrency,executionTime,memoryUse,totalPaths,maxPaths,avgPaths
1,157.95600000000002,92.7,1,1,1
2,134.00600000000003,97.8,60493,2.8,1.6540983606557382
3,108.93799999999999,102.8,73793945,10.4,4.749180327868853
4,141.16555555555556,107.44444444444444,835705514,18.22222222222222,5.557377049180328
5,112.60499999999999,108,1699499556864,39.5,9.359016393442621
6,116.546,108,136677478278758,55.6,10.475409836065575
10,236.64700000000002,113.7,31126013100844646,319.7,38.14918032786885
12,233.7111111111111,129.22222222222223,254615611024343040,374.6666666666667,28.040072859744985
15,55608.436,161.5,820612925060742691493511168,4903.7,405.31311475409836
20,39370.81428571428,131.42857142857142,7617889801859814225248593042,5819.428571428572,595.9320843091335
30,70680.28857142858,129.71428571428572,1214006266934538409729158582,5675.714285714285,564.8571428571429
60,29038.232,161.8,45510946107133953743873974783180,3509.6,482.38524590163945
