concurrency,cpuTime,mem,totalPaths,maxPaths,avgPaths
12,213282.46,223,287717568448970096640000000000,17836,1692.2166666666667
12,223191.24,193,287717568448970096640000000000,17836,1692.2166666666667
12,223703.22,191,287717568448970096640000000000,17836,1692.2166666666667
