concurrency,executionTime,memoryUse
1,246.88600000000002,75.7
2,1006.2959999999999,118.1
3,15155.515000000003,682
4,75878.10666666666,815.1111111111111
5,42092.73545454546,853.4545454545455
6,122374.20777777779,814.5555555555555
10,26457.358999999997,856.3
12,38554.436,1024.5
15,36362.897000000004,1024.1
20,45960.85,1024.3
30,51689.496999999996,1024.3
60,38704.763,1024.3
