concurrency,executionTime,memoryUse,totalPaths,maxPaths,avgPaths
1,166.927,92.7,1,1,1
2,128.669,97.2,3332,2.6,1.5098360655737706
3,116.29444444444445,102.55555555555556,14647672,8.777777777777779,3.903460837887067
4,123.81800000000003,106.6,2116523212,13.4,4.626229508196721
5,99.21400000000001,109,10230045081,36.9,8.967213114754099
6,117.97299999999998,109,4636987255023206,37.8,10.127868852459017
10,820.3788888888889,133.77777777777777,4631718826887812977655808,836,109.33879781420768
12,875.2639999999999,129.5,21288105776756774338560,696.7,87.32131147540986
15,4193.312222222222,107.55555555555556,146318811872671628786663424,1423.6666666666667,197.2021857923498
20,182002.37444444446,176.44444444444446,2824858958299053250408611840,11835.444444444445,949.8269581056463
30,4337.939,296,1014482107992284940454073362022,1363.4,222.38360655737705
60,8810.7675,245.5,158698624995292663612912435200,2875,274.75204918032784
