concurrency,executionTime,memoryUse
1,166.927,92.7
2,128.669,97.2
3,116.29444444444445,102.55555555555556
4,123.81800000000003,106.6
5,99.21400000000001,109
6,117.97299999999998,109
10,820.3788888888889,133.77777777777777
12,875.2639999999999,129.5
15,93784.06599999999,130
20,182002.37444444446,176.44444444444446
30,4337.939,296
60,107842.95999999999,276.22222222222223
