concurrency,executionTime,memoryUse,totalPaths,maxPaths,avgPaths
1,195.06724137931033,90.20689655172414,1,1,1
2,196.5134615384615,90.3076923076923,4584,2.1538461538461537,1.3361912393162396
4,219.75250000000003,90.33333333333333,12206229,9.625,3.1531249999999997
5,225.20916666666665,90.70833333333333,122702592,14.5,4.384375
8,295.6195652173912,92.04347826086956,5252731356271,75.21739130434783,12.81086956521739
10,678.385238095238,97.04761904761905,32135715674989,372.95238095238096,61.74523809523811
20,23231.33590909091,130.5909090909091,6290208328290676,3099,417.0329545454546
40,568.7719999999998,88.75,205764802410720,302.4,40.75375
