concurrency,executionTime,memoryUse,totalPaths,maxPaths,avgPaths
1,172.70888888888888,138.11111111111111,1,1,1
2,179.197,151.9,3632,2.6,1.4528688524590163
3,137.363,152.2,8093491,7.2,2.922950819672131
4,140.729,152.2,11713985,11.1,3.40655737704918
5,142.1988888888889,155.11111111111111,19112679424,29.77777777777778,7.695810564663025
6,144.82300000000004,152.9,406694881404736,36.8,9.098360655737709
10,505.39400000000006,158.2,902873047385504533708,624.4,63.79344262295083
12,891.7222222222222,167.11111111111111,2554178749285604524032,689.7777777777778,73.27686703096538
15,1711.396,160.8,1171170148864550169,1031.4,89.85409836065571
20,30826.37555555555,178.22222222222223,881755097873738568302592,5268.888888888889,477.4061930783243
30,144885.96375000002,205.125,27390942665678309900156928,9576.25,657.56762295082
60,17934.078,155.2,574786509111661615191762665472,2674.6,342.483606557377
