concurrency,executionTime,memoryUse
1,172.70888888888888,138.11111111111111
2,179.197,151.9
3,137.363,152.2
4,140.729,152.2
5,142.1988888888889,155.11111111111111
6,144.82300000000004,152.9
10,505.39400000000006,158.2
12,891.7222222222222,167.11111111111111
15,1711.396,160.8
20,117752.59499999997,199.1
30,295927.793,229.3
60,17934.078,155.2
